tensor_type,bin_left,bin_right,density,count,in_range_count,total_sampled_count,plot_range_low,plot_range_high
post-GELU,0.1890057320836908,0.2078992178514575,0.1253378810763411,709,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.2078992178514575,0.22679270361922418,0.12533788107634147,709,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.22679270361922418,0.2456861893869909,0.11349353970523411,642,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.2456861893869909,0.26457967515475767,0.10341701047906832,585,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.26457967515475767,0.2834731609225243,0.10023494861817464,567,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.2834731609225243,0.302366646690291,0.0942243873253735,533,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.302366646690291,0.32126013245805773,0.08061223380932517,456,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.32126013245805773,0.34015361822582446,0.08485498295718438,480,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.34015361822582446,0.3590471039935912,0.08609245145864332,487,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.3590471039935912,0.3779405897613578,0.0698285797251834,395,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.3779405897613578,0.39683407552912453,0.0647019245048531,366,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.39683407552912453,0.41572756129689126,0.0657626117918179,372,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.41572756129689126,0.434621047064658,0.0611663002149704,346,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.434621047064658,0.4535145328324247,0.06134308142946455,347,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.4535145328324247,0.47240801860019144,0.057984238354076,328,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.47240801860019144,0.49130150436795816,0.056569988638122924,320,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.49130150436795816,0.5101949901357248,0.05674676985261739,321,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.5101949901357248,0.5290884759034915,0.046670240626451406,264,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.5290884759034915,0.5479819616712582,0.04790770912791035,271,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.5479819616712582,0.566875447439025,0.04437208483802767,251,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.566875447439025,0.5857689332067917,0.04437208483802767,251,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.5857689332067917,0.6046624189745584,0.04260427269308632,241,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.6046624189745584,0.623555904742325,0.04101324176263936,232,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.623555904742325,0.6424493905100918,0.03570980532781509,202,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.6424493905100918,0.6613428762778585,0.03570980532781509,202,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.6613428762778585,0.6802363620456252,0.031113493750967607,176,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.6802363620456252,0.6991298478133919,0.03588658654230923,203,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.6991298478133919,0.7180233335811587,0.028815337962543864,163,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.7180233335811587,0.7369168193489253,0.0291689003915323,165,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.7369168193489253,0.755810305116692,0.027224307032096655,154,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.755810305116692,0.7747037908844587,0.023688682742213973,134,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.7747037908844587,0.7935972766522255,0.0305831501074852,173,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.7935972766522255,0.8124907624199922,0.0222744330262609,126,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.8124907624199922,0.8313842481877589,0.020329839666825424,115,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.8313842481877589,0.8502777339555256,0.022804776669743305,129,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.8502777339555256,0.8691712197232924,0.019622714808848887,111,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.8691712197232924,0.8880647054910591,0.02139052695379023,121,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.8880647054910591,0.9069581912588258,0.0217440893827785,123,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.9069581912588258,0.9258516770265923,0.01873880873637844,106,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.9258516770265923,0.944745162794359,0.016794215376942742,95,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.944745162794359,0.9636386485621258,0.018738808736378218,106,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.9636386485621258,0.9825321343298925,0.015556746875483803,88,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,0.9825321343298925,1.0014256200976592,0.015026403232001403,85,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.0014256200976592,1.020319105865426,0.01626387173346034,92,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.020319105865426,1.0392125916331927,0.016440652947954475,93,299400,300000,-0.1699704975038767,2.0972477946281285
